Country,Freedom Status,Political Rights,Civil Rights,Freedom Index,CPI Score 2018,HDI,IHDI,IHDI Loss,IHDI Rank,Coefficient of human inequality,Inequality in life expectancy (%),Inequality-adjusted life expectancy index,Inequality in education (%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income Quintile ratio,Income Palma ratio ,Income Gini coefficient,Homicide rate(2015/2016),Ease of Doing Business,Press Freedom 2019,Pension Index,Adequacy,Sustainability,Integrity,Healthcare Ind,Healthcare Exp.,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,max. avg. Internet speed,min. avg. Internet speed , max. avg. percipitation ,  min avg. Percipitation,avg. max Temperature, avg. min Temperature,Corporate Tax rates,Employee Social Contribution,Employer Social Contribution,Individual Income Tax rates,current Inflation rate,max. Inflation rate, min. Inflation rate,VAT
Ecuador,Partly Free,3,3,60,34,0.752,0.603,19.8,-7,19.4,13.9,0.749,13.8,0.601,30.5,0.487,10.7,2.4,45.0,5.9,123,"31,88",-,-,-,-,70.81,127.26,93,133,107,97,96,111,6337,516,-,-,24.34,19.77,25,9.45,12.15,35,0.61,108,-2.67,12
Egypt,Not Free,6,6,26,35,0.696,0.493,29.2,-10,28.3,11.6,0.703,36.9,0.381,36.3,0.446,4.6,1.3,31.8,,120,"56,47",-,-,-,-,44.76,76.58,115,141,110,115,43,63,3983,389,22.63,0.21,32.59,10.95,22.5,14,26,22.5,9.4,35.1,-4.2,14
El Salvador,Free,2,3,70,35,0.674,0.524,22.3,1,21.9,12.2,0.726,30.3,0.404,23.2,0.490,7.9,1.9,40.0,82.8,85,"29,81",-,-,-,-,-,-,87,115,122,83,37,115,3387,621,645,0.35,27.99,21.2,30,3,7,30,0.53,12.2,-2.25,13
Equatorial Guinea,Not Free,7,7,7,16,0.591,,,,,35.0,0.379,,,,,,,,2.3,177,"58,35",-,-,-,-,-,-,152,151,152,129,174,171,1642,88.6,598,9.54,27.93,21.48,-,-,-,-,1.3,83.9,-17.6,15
Eritrea,Not Free,7,7,3,24,0.440,,,,,21.4,0.551,,,,,,,,8.0,189,"80,26",-,-,-,-,-,-,169,167,176,187,148,158,1747,44.31,201,0.02,31.69,21.35,-,-,-,-,9,34.7,-1.38,5
Estonia,Free,1,1,94,73,0.871,0.794,8.8,3,8.5,4.3,0.850,2.3,0.849,18.9,0.694,5.4,1.2,32.7,3.2,16,"12,27",-,-,-,-,68.49,124.47,69,43,48,60,115,77,11698,2923,154,4.49,22.33,-16.55,20,3.6,33.8,20,2.4,11.44,-2.17,20
Eswatini,Not Free,7,6,16,-,0.588,0.414,29.7,-3,29.4,26.2,0.434,24.1,0.401,37.9,0.406,14.2,3.5,51.5,-,117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ethiopia,Not Free,7,6,12,34,0.463,0.331,28.4,6,27.3,24.9,0.530,43.5,0.185,13.4,0.372,7.1,1.8,39.1,7.6,159,"35,11",-,-,-,-,-,-,182,176,186,189,169,180,4014,95.43,420,0.05,26.2,20.08,30,7,11,35,15.4,64.2,-4.1,15
Faroe Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12245,876,381,8.72,13.46,-1.17,-,-,-,-,1.2,7.9,-3.1,-
Fiji,Partly Free,3,3,59,-,0.741,,,,,10.9,0.691,,,,,5.8,1.6,36.4,,101,"27,18",-,-,-,-,-,-,106,71,78,87,124,96,9530,219,744,37.63,27.9,21.28,20,8,10,20,2.8,10.5,-0.3,9
